precip,snowfall,temp,timestamp,datetime
0,0,38.9,2012-03-17T03:00:00-04:00,2012-03-17 03:00:00-04:00
0,0,38.2,2012-03-17T04:00:00-04:00,2012-03-17 04:00:00-04:00
0,0,38.9,2012-03-17T05:00:00-04:00,2012-03-17 05:00:00-04:00
0,0,39.9,2012-03-17T06:00:00-04:00,2012-03-17 06:00:00-04:00
0,0,40.2,2012-03-17T07:00:00-04:00,2012-03-17 07:00:00-04:00
0,0,41.1,2012-03-17T08:00:00-04:00,2012-03-17 08:00:00-04:00
0,0,43.9,2012-03-17T09:00:00-04:00,2012-03-17 09:00:00-04:00
0,0,45.1,2012-03-17T10:00:00-04:00,2012-03-17 10:00:00-04:00
0,0,46.3,2012-03-17T11:00:00-04:00,2012-03-17 11:00:00-04:00
0,0,47.3,2012-03-17T12:00:00-04:00,2012-03-17 12:00:00-04:00
0,0,47.9,2012-03-17T13:00:00-04:00,2012-03-17 13:00:00-04:00
0,0,50.4,2012-03-17T14:00:00-04:00,2012-03-17 14:00:00-04:00
0,0,51.8,2012-03-17T15:00:00-04:00,2012-03-17 15:00:00-04:00
0,0,52.2,2012-03-17T16:00:00-04:00,2012-03-17 16:00:00-04:00
0,0,51.7,2012-03-17T17:00:00-04:00,2012-03-17 17:00:00-04:00
0,0,49.9,2012-03-17T18:00:00-04:00,2012-03-17 18:00:00-04:00
0,0,44,2012-03-17T19:00:00-04:00,2012-03-17 19:00:00-04:00
0,0,43.7,2012-03-17T20:00:00-04:00,2012-03-17 20:00:00-04:00
0,0,43,2012-03-17T21:00:00-04:00,2012-03-17 21:00:00-04:00
0,0,42.3,2012-03-17T22:00:00-04:00,2012-03-17 22:00:00-04:00
0,0,41.7,2012-03-17T23:00:00-04:00,2012-03-17 23:00:00-04:00
0,0,41.6,2012-03-18T00:00:00-04:00,2012-03-18 00:00:00-04:00
0,0,41.9,2012-03-18T01:00:00-04:00,2012-03-18 01:00:00-04:00
0,0,43.1,2012-03-18T02:00:00-04:00,2012-03-18 02:00:00-04:00
0,0,43.8,2012-03-18T03:00:00-04:00,2012-03-18 03:00:00-04:00
0,0,44,2012-03-18T04:00:00-04:00,2012-03-18 04:00:00-04:00
0,0,44.3,2012-03-18T05:00:00-04:00,2012-03-18 05:00:00-04:00
0,0,44.5,2012-03-18T06:00:00-04:00,2012-03-18 06:00:00-04:00
0,0,44.9,2012-03-18T07:00:00-04:00,2012-03-18 07:00:00-04:00
0,0,45.8,2012-03-18T08:00:00-04:00,2012-03-18 08:00:00-04:00
0,0,47.2,2012-03-18T09:00:00-04:00,2012-03-18 09:00:00-04:00
0,0,49.5,2012-03-18T10:00:00-04:00,2012-03-18 10:00:00-04:00
